cc_name,mentor,description,issues,youtube_publish_date,updated_at,district,impact_possible,is_impact,impact_in_process,target_official,impact_plan,youtube_publish_date_year,youtube_publish_date_month,youtube_publish_date_day,updated_at_year,updated_at_month,updated_at_day,cta_present,cta_description
 Bhaskar Raj,SHIKHA PAHARIN,"Before the primary health center in Satbarwa block is started, the situation has become dilapidated, due to which the villagers of 59 villages have to go out for treatment and spend a lot of money, due to which the people here do not even get emergency facilities. And many problems have to be faced. The foundation stone of this health center was laid in 2008. It has been 13 years but till now it has not started and its wall is in dilapidated condition.",anti poverty programs,2021-08-19 00:00:00.000,2022-06-01 09:39:22.169,PALAMU,True,False,False,NA,"Jharkhand will sweet the Chief Minister and Jharkhand Health Minister, apply to the collector, and share the video as much as possible.",2021,8,19,2022,6,1,True,NA
 Ravinder Baraik,SHIKHA PAHARIN,"District-Khuti, Block-Raniya Community Health Center Raniya has various problems since last many years like incomplete building is lying for 10 years, ladies daughter is not there, xray month, ultrasound machine is there but it is not being used due to which 40-45 People are not getting proper benefits.",health,2021-08-19 00:00:00.000,2022-06-01 09:47:22.692,KHUNTI,True,False,True,NA, NA,2021,8,19,2022,6,1,False,NA
 Prashant Toppo,GRADUATE CC,"The ration card of 15 primitive tribal families of Panchayat Fakiradih village Harta under Bhandaria block of Garhwa district has been deleted, due to which the ration card has not been made since November 2020 till now. Notice of deletion of ration card in January 2021, Block Development Officer Bhandaria Had made available the list of medium to primitive tribal families through WhatsApp. These families are not getting ration since 11 months.",anti poverty programs,2021-12-08 00:00:00.000,2022-03-30 13:01:53.727,GARHWA,True,False,True,BDO, NA,2021,12,8,2022,3,30,True,NA
 Prashant Toppo,GRADUATE CC," total of 18 primitive tribal families, including Rekha Devi of Kurun village of Fakiradih panchayat under Bhandariya block of Garhwa district, have not been issued ration cards. In which I made a list of 12 Korba primitive tribe families in October 2020 and filled the ration card application form to the Block Development Officer, but even after that, the ration card of these families has not yet been made, while 1 year has passed. . It is very necessary for these families to have ration cards. Rekha Devi tells that even the headman has been told many times but no one has heard",livelihoods,2021-11-23 00:00:00.000,2022-03-30 13:01:53.727,GARHWA,True,False,True,BDO, Show video in community and share video Apply to officer,2021,11,23,2022,3,30,True,NA
 Halima Ejaz,GURUPRASAD PEDNEKAR,"Follow up video of JH_5075 & JH_5053 - for CHAT Project - Seven-bed hospital (Primary Health Center / PHC) built at Chhatrutand (Mahuda) under Baghmara block of Dhanbad district at a cost of crores, karyagat nahi ha. The hospital is ready but the villagers and health workers have not yet been provided any facilities because here Dr. hi nahi aate hai. Jis karan ye PHC nahi chal raha hai",health,2021-09-30 00:00:00.000,2022-06-01 09:41:51.210,DHANBAD,True,False,True,NA, NA,2021,9,30,2022,6,1,False,NA
 Halima Ejaz,GURUPRASAD PEDNEKAR, A seven-bed hospital (primary health center) built at a cost of crores at Chhatrutand (Mahuda) under Baghmara block of district Dhanbad. The hospital is ready but no facilities have been made available to the villagers and health workers.,health,2020-12-28 00:00:00.000,2022-07-27 12:09:58.259,DHANBAD,True,True,True,NA, NA,2020,12,28,2022,7,27,True,NA
 Mohd Gulzar,SHIKHA PAHARIN,"Village: Manjar Panchayat: Kaithpura Block: Basantrai District: Godda, Jharkhand More than 800 people reside in Manjar, the main problem of the people here is that the condition of the transformer here is very bad, and the wire connected to it is It always breaks, and the villagers always have to suffer, and due to the fall of this wire, the lives of the people of the village have also been lost, the government is not paying attention to this thing, the people of the village collect some money together and correct themselves. Let's do",power & energy,2022-09-02 00:00:00.000,2022-10-07 11:33:02.787,GONDA,True,False,True,ENGINEER, Written application has been given to the District Electrical Engineer,2022,9,2,2022,10,7,True,NA
 Beena Bharti,SHIKHA PAHARIN,"Under the Mukhyamantri Zan Jal Yojana, water facility was provided to 18 houses through pipeline, but in Ambedkar Mohalla of Gram Panchayat Navdiha, water is not coming due to spoilage for about three months, due to which the villagers are suffering a lot for water. There was only one government tap facility for water in the whole locality, but it is also bad since three months.",water,2022-12-26 00:00:00.000,2023-01-18 12:22:35.365,GIRIDIH,True,False,True,NA, NA,2022,12,26,2023,1,18,True,NA
 Beena Bharti,SHIKHA PAHARIN,"District Giridih Block Jamua Gram Panchayat Navdiha, despite having a primary health center, is not able to get the benefit of health facility, while this primary one doctor, two nurses, two cleaning workers have been given, the doctor says that there is no basic facility in our health center. We have not been given so that we can treat patients Two nurses have been given who stays in the field At present only iron and calcium have been given in the name of medicine, rest of the medicines have not been given nor to deal with emergency No basic facility is available even from chair for doctor to sit and bed for patient's treatment is also not provided which causes lot of trouble to patients whatever patient comes for treatment given in lockdown Online treatment in Tele Medicine Center is done through video calling. During treatment, if there is a power cut, patients have to wait for a long time. Sometimes, if there is no power, it goes back without treatment. No facilities have been provided due to which the villagers have trouble. It happens",anti poverty programs,2021-08-19 00:00:00.000,2022-06-01 09:53:40.898,GIRIDIH,False,False,NA,NA,NA,2021,8,19,2022,6,1,NA,NA
 Saroj Kumar Rawani,GRADUATE CC,"District Chatra Block Chatra Panchayat Sikid Village Jatarhi, 250 people from 25 houses of st community were living for 70 years and doing farming in their ancestral land, but a month ago the forest department went and forcibly dug trenches in the cultivated land. Saplings were planted on the dug land, which was strongly opposed by the villagers, due to which there were quarrels between the villagers and the forest department, and the forest department filed a case against 7 villagers and sent them to jail, whose notice was also given to the farmers. It was not given and now the forest department is also threatening to demolish the houses of villagers. Villagers do not even have any other land so that villagers can live their lives by building houses.",forced evictions,2022-08-25 00:00:00.000,2022-10-05 05:17:15.622,CHHATRA,True,False,True,NA, NA,2022,8,25,2022,10,5,False,NA
